keys,en,zh
dialog_beginning_00,"Heheh, cut costs and boost efficiency... The useless stuff just needs to be cleared out, y'know.","嘿嘿嘿，降本增效…降本增效…
没用的东西就该清理出去哟"
dialog_beginning_01,"...Suddenly the whole project team got laid off.\nWhat was all that overtime for the past month even for...
...It’s so eerily quiet in here.
...
Everything on my desk’s already packed up in boxes.\nPutting them on the chair and wheeling it out’ll save some energy.\nThe piles are such a mess I can barely squeeze through the aisle.\nI guess I’ll try pushing the packed-up chair now.","…
突然整个项目组都被裁掉了啊
那前一个月的加班算什么…
…真是安静呢
。。。
工位上的东西已经打包好放在箱子里了
放在椅子上推走能省点力气
东西堆得真是一团糟，似乎都走不出去了
试着推一下我收拾好的椅子吧"
dialog_beginning_02,Huh?Oh no! I accidentally broke the office door.,"诶？
完了啊，不小心把办公室的门打破了"
dialog_beginning_03,"... Though I gotta say, the rush of breaking things isn’t half bad.","。。。
不过不得不说破坏的感觉挺好的"
dialog_beginning_04,"Oh no! Why’s the alarm blaring?\n Now I’ll never get out of the company without footing the bill for the damage.\nI bet that boss would make me cough up way more than 114,514 yuan in compensation anyway.","完蛋了，咋响警报，这下不付赔偿连公司都出不去了
想必那个老板会让员工付上114514元都不够的赔偿金罢"
you,You,你
dialog_boss_00,"This must be the Boss’s office, right?",这里就是Boss的房间了吧
dialog_boss_01,I keep feeling a cold chill down my spine.,总感觉背后凉凉的
dialog_boss_02,…,…
dialog_boss_03,Whoa!,哇啊！
dialog_boss_04,"Who are you? How did you get in here?
I see. I heard some laid-off employee was causing a ruckus in the office, but I never thought it’d be a goat.","你是谁？你是怎么进来的。
我明白了，听说有员工被裁了还在公司闹事，没想到是一只山羊"
dialog_boss_05,"Don't you dare underestimate a goat!
In the name of judgment, brace yourself for my wrath!","可不要小看山羊。
以断罪之名，接受我的怒火吧！"
dialog_about_turret_00,"What the hell?How the hell did a robot vacuum even mutate?
...I swear it never glowed red before. Could it be...?","什么鬼？
怎么扫地机器人还能变异来的
…我记得之前没有冒红光来着。难不成？"
dialog_about_turret_01,"Hello? Hello? Can you hear me?
Heard you’re trying to get out of here. \nI just hijacked this radio frequency, so I can pass a message to you.
The boss just switched all the company’s robot vacuums to alert mode—\nprobably to seal the whole place off.
Now those robot vacuums will attack any living thing that gets near the area without discrimination. \nYou’d better watch out!","喂喂？能听到我说话吗？
听说你在想办法离开这里，我正好劫持了这个广播频段，可以给你传话了
刚刚老板把全公司的扫地机器人都切换成了警戒模式，估计是为了进行封锁吧
现在扫地机器人会无差别攻击靠近的靠近区域的生物，你最好小心点！"
dialog_about_turret_02,"Great, it’s not the boss!
Figured it’d be something like this. I’ll watch my step.
Then what do I do if the robot vacuums block the only way out?","太好了，不是老板耶。
还真是这样啊，我会小心的
那要是扫地机器人挡住必经之路该怎么办？"
dialog_about_turret_03,"I’ll let you in on a secret… As long as you sit on a chair, the robot vacuums won’t detect you at all!
Or if you can find a way to push it away or get it out with the chair, that works too. \nOut of sight, out of mind, anyway!","我告诉你一个秘密…只要坐在椅子上，就不会被扫地机器人探测到了！
或者你要是能想办法用椅子把它推走或者弄出去都行，眼不见心为净嘛"
molefish,Slacker colleague,摸鱼同事
officeghost,Office ghost,办公室幽灵
dialog_levelselector,"Alrighty! Welcome to the level select screen—\nwait, no, it’s the elevator!
The boss just ordered all the doors and stairs sealed up, but I’m still here to help you out.
Though breaking through the door’s gonna be all on you! After all, I’m a ghost—\nI can’t deal any physical damage, y'know.
You’ve got this, you’ve got this :)","好嘞，欢迎来到选关界面，啊不，是电梯
虽然Boss刚刚下令把门和楼梯封死了，但我依然可以为您服务
不过打破门这件事就得交给你来做了！毕竟我是幽灵嘛无法造成物理伤害
加油加油:)"
dialog_mud4,What the heck?,搞什么飞机…
dialog_npcdog_00,"Ever since I left the company, I've made a fortune drawing fanart.\nI'm so happy! Let's go for hot pot tonight!","自从离开了公司，我靠画同人赚了不少钱，真幸福啊~
晚上去吃海底捞吧！"
dialog_npcdog_01,"Whoa, turns out you’re a total pro! I gotta tip my hat to you!
When I was packing up and saw the boss fall out the window—\nthat second, I felt like my life was finally redeemed.","原来是大手子，失敬失敬！
刚刚收拾东西的时候看到老板从窗边掉下去的那一刻
感觉到我的生命得到了救赎"
dialog_npcdog_02,What should I grab to eat today~,今天吃什么好呢~
dialog_npcdog_03,"Fresh air is drifting into the office for the first time in ages—\nand I’m a ghost, no less.","办公室里也久违飘进了清新的空气
虽然我是一只幽灵。"
dialog_npcdog_04,CHAIR! IMPACT!\nHow’s that? Was my move just now totally awesome?,"椅！子！冲！击！
怎么样，刚才的姿势帅不帅"
dialog_npcdog_05,Wanna join me in making indie games? We’ve got no jobs anyway.,"要不要和我一起回去做独立游戏？
反正工作都没了。"
npcname_00,Old Juice,老果汁
npcname_01,Madagas,马达加斯
npcname_02,Raven,老鸦
ex,Ex-colleague,前同事
dialog_shuffle,What the hell?,什么鬼？
